method: org.apache.fop.fo.flow.table.PrimaryGridUnit.getBeforeAfterBorderWidth:616727976
224203 -> 224204
224205 -> 224206
224204 -> 224207
224206 -> 224208
224207 -> 224209
224208 -> 224210
224209 -> 224211
224210 -> 224212
224211 -> 224213
224212 -> 224214
224213 -> 224215
224214 -> 224216
224215 -> 224217
224216 -> 224218
224217 -> 224219
224218 -> 224220
224217 -> 224221
