method: org.apache.fop.area.inline.ForeignObject.setDocument:336024695
84575 -> 84576
84577 -> 84578
84579 -> 84580
84576 -> 84581
84578 -> 84582
84580 -> 84583
84581 -> 84584
84582 -> 84585
84583 -> 84586
84584 -> 84587
84585 -> 84588
84586 -> 84589
84587 -> 84590
84588 -> 84591
84589 -> 84592
84587 -> 84593
