method: org.apache.fop.fonts.base14.ZapfDingbats.getEmbedFontName:428710893
742728 -> 742729
742730 -> 742731
742728 -> 742732
742729 -> 742733
742731 -> 742734
742732 -> 742735
742733 -> 742736
742734 -> 742737
742736 -> 742738
742737 -> 742739
742740 -> 742741
742738 -> 742742
742739 -> 742743
742741 -> 742744
742741 -> 742745
