method: org.apache.fop.layoutmgr.table.ActiveCell.nextRowStarts:2144175239
0(2144175239) -> 0(496676013) 
this(2144175239) -> this(496676013) 
0(2144175239) -> l1(496676013) 
0(2144175239) -> $r1(496676013) 
0(496676013) -> 0(1781143363) 
this(496676013) -> this(1781143363) 
l1(496676013) -> l1(1781143363) 
$r1(496676013) -> $r1(1781143363) 
0(1781143363) -> 0(719193661) 
this(1781143363) -> this(719193661) 
l1(1781143363) -> l1(719193661) 
$r1(1781143363) -> $r1(719193661) 
0(719193661) -> 0(1449895111) 
this(719193661) -> this(1449895111) 
l1(719193661) -> l1(1449895111) 
$r1(719193661) -> $r1(1449895111) 
0(1449895111) -> 0(1065492189) 
this(1449895111) -> this(1065492189) 
l1(1449895111) -> l1(1065492189) 
$r1(1449895111) -> $r1(1065492189) 
0(1065492189) -> 0(1644191301) 
this(1065492189) -> this(1644191301) 
l1(1065492189) -> l1(1644191301) 
$r1(1065492189) -> $r1(1644191301) 
0(1644191301) -> 0(-1644191301) 
this(1644191301) -> this(-1644191301) 
l1(1644191301) -> l1(-1644191301) 
$r1(1644191301) -> $r1(-1644191301) 
0(-1644191301) -> 0(38171260) 
this(-1644191301) -> this(38171260) 
l1(-1644191301) -> l1(38171260) 
$r1(-1644191301) -> $r1(38171260) 
0(38171260) -> 0(1594240014) 
this(38171260) -> this(1594240014) 
l1(38171260) -> l1(1594240014) 
$r1(38171260) -> $r1(1594240014) 
0(1594240014) -> 0(1510329261) 
this(1594240014) -> this(1510329261) 
l1(1594240014) -> l1(1510329261) 
$r1(1594240014) -> $r1(1510329261) 
0(1510329261) -> 0(65966364) 
this(1510329261) -> this(65966364) 
l1(1510329261) -> l1(65966364) 
$r1(1510329261) -> $r1(65966364) 
0(65966364) -> 0(1555325427) 
this(65966364) -> this(1555325427) 
l1(65966364) -> l1(1555325427) 
$r1(65966364) -> $r1(1555325427) 
0(1555325427) -> 0(-1555325427) 
this(1555325427) -> this(-1555325427) 
l1(1555325427) -> l1(-1555325427) 
$r1(1555325427) -> $r1(-1555325427) 
0(-1555325427) -> 0(1096087621) 
this(-1555325427) -> this(1096087621) 
l1(-1555325427) -> l1(1096087621) 
$r1(-1555325427) -> $r1(1096087621) 
0(1096087621) -> 0(829922181) 
