method: org.apache.fop.traits.BorderProps.valueOf:68858783
0(68858783) -> 0(477355326) 
foUserAgent(68858783) -> foUserAgent(477355326) 
s(68858783) -> s(477355326) 
0(68858783) -> st(477355326) 
0(68858783) -> style(477355326) 
0(68858783) -> color(477355326) 
0(68858783) -> ms(477355326) 
0(68858783) -> c(477355326) 
0(68858783) -> e(477355326) 
0(68858783) -> s(477355326) 
0(68858783) -> $r0(477355326) 
0(68858783) -> $r1(477355326) 
0(68858783) -> $r2(477355326) 
0(68858783) -> $r3(477355326) 
0(68858783) -> $r4(477355326) 
0(68858783) -> $r5(477355326) 
0(477355326) -> 0(2059542537) 
foUserAgent(477355326) -> foUserAgent(2059542537) 
s(477355326) -> s(2059542537) 
st(477355326) -> st(2059542537) 
style(477355326) -> style(2059542537) 
color(477355326) -> color(2059542537) 
ms(477355326) -> ms(2059542537) 
c(477355326) -> c(2059542537) 
e(477355326) -> e(2059542537) 
s(477355326) -> s(2059542537) 
$r0(477355326) -> $r0(2059542537) 
$r1(477355326) -> $r1(2059542537) 
$r2(477355326) -> $r2(2059542537) 
$r3(477355326) -> $r3(2059542537) 
$r4(477355326) -> $r4(2059542537) 
$r5(477355326) -> $r5(2059542537) 
0(2059542537) -> 0(524546807) 
foUserAgent(2059542537) -> foUserAgent(524546807) 
s(2059542537) -> s(524546807) 
st(2059542537) -> st(524546807) 
style(2059542537) -> style(524546807) 
color(2059542537) -> color(524546807) 
ms(2059542537) -> ms(524546807) 
c(2059542537) -> c(524546807) 
e(2059542537) -> e(524546807) 
s(2059542537) -> s(524546807) 
$r0(2059542537) -> $r0(524546807) 
$r1(2059542537) -> $r1(524546807) 
$r2(2059542537) -> $r2(524546807) 
$r3(2059542537) -> $r3(524546807) 
$r4(2059542537) -> $r4(524546807) 
$r5(2059542537) -> $r5(524546807) 
0(524546807) -> 0(-524546807) 
foUserAgent(524546807) -> foUserAgent(-524546807) 
s(524546807) -> s(-524546807) 
st(524546807) -> st(-524546807) 
style(524546807) -> style(-524546807) 
color(524546807) -> color(-524546807) 
ms(524546807) -> ms(-524546807) 
c(524546807) -> c(-524546807) 
e(524546807) -> e(-524546807) 
s(524546807) -> s(-524546807) 
$r0(524546807) -> $r0(-524546807) 
$r1(524546807) -> $r1(-524546807) 
$r2(524546807) -> $r2(-524546807) 
$r3(524546807) -> $r3(-524546807) 
$r4(524546807) -> $r4(-524546807) 
$r5(524546807) -> $r5(-524546807) 
0(-524546807) -> 0(637814314) 
foUserAgent(-524546807) -> foUserAgent(637814314) 
s(-524546807) -> s(637814314) 
st(-524546807) -> st(637814314) 
style(-524546807) -> style(637814314) 
color(-524546807) -> color(637814314) 
ms(-524546807) -> ms(637814314) 
c(-524546807) -> c(637814314) 
e(-524546807) -> e(637814314) 
s(-524546807) -> s(637814314) 
$r0(-524546807) -> $r0(637814314) 
$r1(-524546807) -> $r1(637814314) 
$r2(-524546807) -> $r2(637814314) 
$r3(-524546807) -> $r3(637814314) 
