method: org.apache.fop.fo.expr.PropertyParser.parseAdditiveExpr:1849608794
0(1849608794) -> 0(1506840292) 
this(1849608794) -> this(1506840292) 
0(1849608794) -> prop(1506840292) 
0(1849608794) -> $r0(1506840292) 
0(1849608794) -> $r1(1506840292) 
0(1849608794) -> $r2(1506840292) 
0(1506840292) -> 0(715365348) 
this(1506840292) -> this(715365348) 
prop(1506840292) -> prop(715365348) 
$r0(1506840292) -> $r0(715365348) 
$r1(1506840292) -> $r1(715365348) 
$r2(1506840292) -> $r2(715365348) 
0(715365348) -> 0(-715365348) 
this(715365348) -> this(-715365348) 
$r0(715365348) -> $r0(-715365348) 
$r1(715365348) -> $r1(-715365348) 
$r2(715365348) -> $r2(-715365348) 
0(-715365348) -> 0(1267415627) 
this(-715365348) -> this(1267415627) 
prop(-715365348) -> prop(1267415627) 
$r0(-715365348) -> $r0(1267415627) 
$r1(-715365348) -> $r1(1267415627) 
$r2(-715365348) -> $r2(1267415627) 
0(1267415627) -> 0(564148396) 
this(1267415627) -> this(564148396) 
prop(1267415627) -> prop(564148396) 
$r0(1267415627) -> $r0(564148396) 
$r1(1267415627) -> $r1(564148396) 
$r2(1267415627) -> $r2(564148396) 
0(564148396) -> 0(-1849608794) 
this(564148396) -> this(-1849608794) 
prop(564148396) -> prop(-1849608794) 
$r0(564148396) -> $r0(-1849608794) 
$r1(564148396) -> $r1(-1849608794) 
$r2(564148396) -> $r2(-1849608794) 
0(417374300) -> 0(917891326) 
this(417374300) -> this(917891326) 
prop(417374300) -> prop(917891326) 
$r0(417374300) -> $r0(917891326) 
$r1(417374300) -> $r1(917891326) 
$r2(417374300) -> $r2(917891326) 
0(917891326) -> 0(-917891326) 
this(917891326) -> this(-917891326) 
prop(917891326) -> prop(-917891326) 
$r1(917891326) -> $r1(-917891326) 
$r2(917891326) -> $r2(-917891326) 
0(-917891326) -> 0(1670394256) 
this(-917891326) -> this(1670394256) 
prop(-917891326) -> prop(1670394256) 
$r0(-917891326) -> $r0(1670394256) 
$r1(-917891326) -> $r1(1670394256) 
$r2(-917891326) -> $r2(1670394256) 
0(1670394256) -> 0(-1670394256) 
this(1670394256) -> this(-1670394256) 
prop(1670394256) -> prop(-1670394256) 
$r0(1670394256) -> $r0(-1670394256) 
$r2(1670394256) -> $r2(-1670394256) 
0(-1670394256) -> 0(262543361) 
this(-1670394256) -> this(262543361) 
prop(-1670394256) -> prop(262543361) 
$r0(-1670394256) -> $r0(262543361) 
$r1(-1670394256) -> $r1(262543361) 
$r2(-1670394256) -> $r2(262543361) 
0(262543361) -> 0(-262543361) 
this(262543361) -> this(-262543361) 
prop(262543361) -> prop(-262543361) 
$r0(262543361) -> $r0(-262543361) 
$r1(262543361) -> $r1(-262543361) 
0(-262543361) -> 0(2142357205) 
this(-262543361) -> this(2142357205) 
prop(-262543361) -> prop(2142357205) 
$r0(-262543361) -> $r0(2142357205) 
$r1(-262543361) -> $r1(2142357205) 
$r2(-262543361) -> $r2(2142357205) 
0(2142357205) -> 0(-2142357205) 
this(2142357205) -> this(-2142357205) 
$r0(2142357205) -> $r0(-2142357205) 
$r1(2142357205) -> $r1(-2142357205) 
$r2(2142357205) -> $r2(-2142357205) 
0(-2142357205) -> 0(1886718833) 
this(-2142357205) -> this(1886718833) 
prop(-2142357205) -> prop(1886718833) 
$r0(-2142357205) -> $r0(1886718833) 
$r1(-2142357205) -> $r1(1886718833) 
$r2(-2142357205) -> $r2(1886718833) 
0(1886718833) -> 0(1267415627) 
this(1886718833) -> this(1267415627) 
prop(1886718833) -> prop(1267415627) 
$r0(1886718833) -> $r0(1267415627) 
$r1(1886718833) -> $r1(1267415627) 
$r2(1886718833) -> $r2(1267415627) 
0(302528583) -> 0(925397630) 
this(302528583) -> this(925397630) 
prop(302528583) -> prop(925397630) 
$r0(302528583) -> $r0(925397630) 
$r1(302528583) -> $r1(925397630) 
$r2(302528583) -> $r2(925397630) 
0(925397630) -> 0(-925397630) 
this(925397630) -> this(-925397630) 
prop(925397630) -> prop(-925397630) 
$r1(925397630) -> $r1(-925397630) 
$r2(925397630) -> $r2(-925397630) 
0(-925397630) -> 0(865711091) 
this(-925397630) -> this(865711091) 
prop(-925397630) -> prop(865711091) 
$r0(-925397630) -> $r0(865711091) 
$r1(-925397630) -> $r1(865711091) 
$r2(-925397630) -> $r2(865711091) 
0(865711091) -> 0(-865711091) 
this(865711091) -> this(-865711091) 
prop(865711091) -> prop(-865711091) 
$r0(865711091) -> $r0(-865711091) 
$r2(865711091) -> $r2(-865711091) 
0(-865711091) -> 0(804598012) 
this(-865711091) -> this(804598012) 
prop(-865711091) -> prop(804598012) 
$r0(-865711091) -> $r0(804598012) 
$r1(-865711091) -> $r1(804598012) 
$r2(-865711091) -> $r2(804598012) 
0(804598012) -> 0(-804598012) 
this(804598012) -> this(-804598012) 
prop(804598012) -> prop(-804598012) 
$r0(804598012) -> $r0(-804598012) 
$r1(804598012) -> $r1(-804598012) 
0(-804598012) -> 0(1810046814) 
this(-804598012) -> this(1810046814) 
prop(-804598012) -> prop(1810046814) 
$r0(-804598012) -> $r0(1810046814) 
$r1(-804598012) -> $r1(1810046814) 
$r2(-804598012) -> $r2(1810046814) 
0(1810046814) -> 0(-1810046814) 
this(1810046814) -> this(-1810046814) 
$r0(1810046814) -> $r0(-1810046814) 
$r1(1810046814) -> $r1(-1810046814) 
$r2(1810046814) -> $r2(-1810046814) 
0(-1810046814) -> 0(203459496) 
this(-1810046814) -> this(203459496) 
prop(-1810046814) -> prop(203459496) 
$r0(-1810046814) -> $r0(203459496) 
$r1(-1810046814) -> $r1(203459496) 
$r2(-1810046814) -> $r2(203459496) 
0(203459496) -> 0(1267415627) 
this(203459496) -> this(1267415627) 
prop(203459496) -> prop(1267415627) 
$r0(203459496) -> $r0(1267415627) 
$r1(203459496) -> $r1(1267415627) 
$r2(203459496) -> $r2(1267415627) 
0(749783248) -> 0(61673742) 
this(749783248) -> this(61673742) 
prop(749783248) -> prop(61673742) 
$r0(749783248) -> $r0(61673742) 
$r1(749783248) -> $r1(61673742) 
$r2(749783248) -> $r2(61673742) 
0(61673742) -> 0(-1849608794) 
this(61673742) -> this(-1849608794) 
prop(61673742) -> prop(-1849608794) 
$r0(61673742) -> $r0(-1849608794) 
$r1(61673742) -> $r1(-1849608794) 
$r2(61673742) -> $r2(-1849608794) 
prop(61673742) -> .return(-1849608794) 
