method: org.apache.fop.layoutmgr.table.TableCellLayoutManager.discardSpace:1249766060
1488478 -> 1488479
1488480 -> 1488481
1488482 -> 1488483
1488479 -> 1488484
1488481 -> 1488485
1488483 -> 1488486
1488484 -> 1488487
1488485 -> 1488488
1488486 -> 1488489
1488487 -> 1488490
1488488 -> 1488491
1488489 -> 1488492
1488487 -> 1488493
