method: org.apache.fop.layoutmgr.inline.LineLayoutManager$Paragraph.access$500:1914512637
1226704 -> 1226705
1226706 -> 1226707
1226704 -> 1226708
1226705 -> 1226709
1226707 -> 1226710
1226708 -> 1226711
1226709 -> 1226712
1226710 -> 1226713
1226711 -> 1226714
1226712 -> 1226715
1226713 -> 1226716
1226714 -> 1226717
1226714 -> 1226718
