method: org.apache.fop.fonts.FontSetup$1.resolve:438960029
802115 -> 802116
802117 -> 802118
802119 -> 802120
802115 -> 802121
802116 -> 802122
802118 -> 802123
802120 -> 802124
802121 -> 802125
802122 -> 802126
802123 -> 802127
802124 -> 802128
802125 -> 802129
802126 -> 802130
802127 -> 802131
802128 -> 802132
802130 -> 802133
802131 -> 802134
802132 -> 802135
802136 -> 802137
802133 -> 802138
802134 -> 802139
802135 -> 802140
802137 -> 802141
802137 -> 802142
