method: org.apache.fop.fo.flow.table.TableBody.validateChildNode:1270521142
0(1270521142) -> 0(893824758) 
this(1270521142) -> this(893824758) 
loc(1270521142) -> loc(893824758) 
nsURI(1270521142) -> nsURI(893824758) 
localName(1270521142) -> localName(893824758) 
0(1270521142) -> $r0(893824758) 
0(1270521142) -> $r1(893824758) 
0(1270521142) -> $r2(893824758) 
0(1270521142) -> $r3(893824758) 
0(893824758) -> 0(864596941) 
this(893824758) -> this(864596941) 
loc(893824758) -> loc(864596941) 
nsURI(893824758) -> nsURI(864596941) 
localName(893824758) -> localName(864596941) 
$r0(893824758) -> $r0(864596941) 
$r1(893824758) -> $r1(864596941) 
$r2(893824758) -> $r2(864596941) 
$r3(893824758) -> $r3(864596941) 
0(864596941) -> 0(1406431785) 
this(864596941) -> this(1406431785) 
loc(864596941) -> loc(1406431785) 
nsURI(864596941) -> nsURI(1406431785) 
localName(864596941) -> localName(1406431785) 
$r0(864596941) -> $r0(1406431785) 
$r1(864596941) -> $r1(1406431785) 
$r2(864596941) -> $r2(1406431785) 
$r3(864596941) -> $r3(1406431785) 
0(1406431785) -> 0(546507966) 
this(1406431785) -> this(546507966) 
loc(1406431785) -> loc(546507966) 
nsURI(1406431785) -> nsURI(546507966) 
localName(1406431785) -> localName(546507966) 
$r0(1406431785) -> $r0(546507966) 
$r1(1406431785) -> $r1(546507966) 
$r2(1406431785) -> $r2(546507966) 
$r3(1406431785) -> $r3(546507966) 
0(546507966) -> 0(371826343) 
this(546507966) -> this(371826343) 
loc(546507966) -> loc(371826343) 
nsURI(546507966) -> nsURI(371826343) 
localName(546507966) -> localName(371826343) 
$r0(546507966) -> $r0(371826343) 
$r1(546507966) -> $r1(371826343) 
$r2(546507966) -> $r2(371826343) 
$r3(546507966) -> $r3(371826343) 
0(371826343) -> 0(1571060949) 
this(371826343) -> this(1571060949) 
loc(371826343) -> loc(1571060949) 
nsURI(371826343) -> nsURI(1571060949) 
localName(371826343) -> localName(1571060949) 
$r0(371826343) -> $r0(1571060949) 
$r1(371826343) -> $r1(1571060949) 
$r2(371826343) -> $r2(1571060949) 
$r3(371826343) -> $r3(1571060949) 
0(1571060949) -> 0(-1571060949) 
this(1571060949) -> this(-1571060949) 
loc(1571060949) -> loc(-1571060949) 
nsURI(1571060949) -> nsURI(-1571060949) 
localName(1571060949) -> localName(-1571060949) 
$r0(1571060949) -> $r0(-1571060949) 
$r1(1571060949) -> $r1(-1571060949) 
$r2(1571060949) -> $r2(-1571060949) 
$r3(1571060949) -> $r3(-1571060949) 
0(-1571060949) -> 0(1509929978) 
this(-1571060949) -> this(1509929978) 
loc(-1571060949) -> loc(1509929978) 
nsURI(-1571060949) -> nsURI(1509929978) 
localName(-1571060949) -> localName(1509929978) 
$r0(-1571060949) -> $r0(1509929978) 
$r1(-1571060949) -> $r1(1509929978) 
$r2(-1571060949) -> $r2(1509929978) 
$r3(-1571060949) -> $r3(1509929978) 
0(1509929978) -> 0(2064024891) 
this(1509929978) -> this(2064024891) 
loc(1509929978) -> loc(2064024891) 
nsURI(1509929978) -> nsURI(2064024891) 
localName(1509929978) -> localName(2064024891) 
$r0(1509929978) -> $r0(2064024891) 
$r1(1509929978) -> $r1(2064024891) 
$r2(1509929978) -> $r2(2064024891) 
$r3(1509929978) -> $r3(2064024891) 
0(1509929978) -> 0(1113748225) 
this(1509929978) -> this(1113748225) 
loc(1509929978) -> loc(1113748225) 
nsURI(1509929978) -> nsURI(1113748225) 
localName(1509929978) -> localName(1113748225) 
$r0(1509929978) -> $r0(1113748225) 
$r1(1509929978) -> $r1(1113748225) 
$r2(1509929978) -> $r2(1113748225) 
$r3(1509929978) -> $r3(1113748225) 
0(1113748225) -> 0(-1113748225) 
this(1113748225) -> this(-1113748225) 
loc(1113748225) -> loc(-1113748225) 
nsURI(1113748225) -> nsURI(-1113748225) 
localName(1113748225) -> localName(-1113748225) 
$r0(1113748225) -> $r0(-1113748225) 
$r1(1113748225) -> $r1(-1113748225) 
$r2(1113748225) -> $r2(-1113748225) 
$r3(1113748225) -> $r3(-1113748225) 
0(-1113748225) -> 0(1298950323) 
this(-1113748225) -> this(1298950323) 
loc(-1113748225) -> loc(1298950323) 
nsURI(-1113748225) -> nsURI(1298950323) 
localName(-1113748225) -> localName(1298950323) 
$r0(-1113748225) -> $r0(1298950323) 
$r1(-1113748225) -> $r1(1298950323) 
$r2(-1113748225) -> $r2(1298950323) 
$r3(-1113748225) -> $r3(1298950323) 
0(1298950323) -> 0(234492625) 
this(1298950323) -> this(234492625) 
loc(1298950323) -> loc(234492625) 
nsURI(1298950323) -> nsURI(234492625) 
localName(1298950323) -> localName(234492625) 
$r0(1298950323) -> $r0(234492625) 
$r1(1298950323) -> $r1(234492625) 
$r2(1298950323) -> $r2(234492625) 
$r3(1298950323) -> $r3(234492625) 
0(1298950323) -> 0(848838783) 
this(1298950323) -> this(848838783) 
loc(1298950323) -> loc(848838783) 
nsURI(1298950323) -> nsURI(848838783) 
localName(1298950323) -> localName(848838783) 
$r0(1298950323) -> $r0(848838783) 
$r1(1298950323) -> $r1(848838783) 
$r2(1298950323) -> $r2(848838783) 
$r3(1298950323) -> $r3(848838783) 
0(848838783) -> 0(699558860) 
this(848838783) -> this(699558860) 
loc(848838783) -> loc(699558860) 
nsURI(848838783) -> nsURI(699558860) 
localName(848838783) -> localName(699558860) 
$r0(848838783) -> $r0(699558860) 
$r1(848838783) -> $r1(699558860) 
$r2(848838783) -> $r2(699558860) 
$r3(848838783) -> $r3(699558860) 
0(699558860) -> 0(916168011) 
this(699558860) -> this(916168011) 
loc(699558860) -> loc(916168011) 
nsURI(699558860) -> nsURI(916168011) 
localName(699558860) -> localName(916168011) 
$r0(699558860) -> $r0(916168011) 
$r1(699558860) -> $r1(916168011) 
$r2(699558860) -> $r2(916168011) 
$r3(699558860) -> $r3(916168011) 
0(699558860) -> 0(258460165) 
this(699558860) -> this(258460165) 
loc(699558860) -> loc(258460165) 
nsURI(699558860) -> nsURI(258460165) 
localName(699558860) -> localName(258460165) 
$r0(699558860) -> $r0(258460165) 
$r1(699558860) -> $r1(258460165) 
$r2(699558860) -> $r2(258460165) 
