method: org.apache.fop.fo.flow.table.PrimaryGridUnit.getBeforeBorderWidth:1591012210
224537 -> 224551
224538 -> 224552
224539 -> 224553
224540 -> 224554
224542 -> 224555
224544 -> 224556
224545 -> 224557
224546 -> 224558
224547 -> 224559
224548 -> 224560
224549 -> 224561
224550 -> 224562
224551 -> 224563
224552 -> 224564
224553 -> 224565
224554 -> 224566
224555 -> 224567
224568 -> 224569
224556 -> 224570
224557 -> 224571
224558 -> 224572
224559 -> 224573
224560 -> 224574
224561 -> 224575
224562 -> 224576
224563 -> 224577
224564 -> 224578
224565 -> 224579
224566 -> 224580
224567 -> 224581
224569 -> 224582
224570 -> 224583
224571 -> 224584
224572 -> 224585
224573 -> 224586
224574 -> 224587
224575 -> 224588
224576 -> 224589
224577 -> 224590
224578 -> 224591
224579 -> 224592
224580 -> 224593
224581 -> 224594
224582 -> 224595
224583 -> 224596
224584 -> 224597
224585 -> 224598
224586 -> 224599
224587 -> 224600
224588 -> 224601
224589 -> 224602
224590 -> 224603
224591 -> 224604
224592 -> 224605
224593 -> 224606
224594 -> 224607
224595 -> 224608
224596 -> 224609
224597 -> 224610
224598 -> 224611
224599 -> 224612
224600 -> 224613
224601 -> 224614
224589 -> 224615
224590 -> 224616
224591 -> 224617
224592 -> 224618
224593 -> 224619
224594 -> 224620
224595 -> 224621
224596 -> 224622
224597 -> 224623
224598 -> 224624
224599 -> 224625
224600 -> 224626
224601 -> 224627
224615 -> 224367
224616 -> 224368
224617 -> 224369
224618 -> 224370
224619 -> 224371
224620 -> 224372
224621 -> 224373
224622 -> 224374
224623 -> 224375
224624 -> 224376
224625 -> 224377
224626 -> 224378
224627 -> 224379
224615 -> 224380
224602 -> 224628
224603 -> 224629
224604 -> 224630
224605 -> 224631
224606 -> 224632
224607 -> 224633
224608 -> 224634
224609 -> 224635
224610 -> 224636
224611 -> 224637
224612 -> 224638
224613 -> 224639
224614 -> 224640
224628 -> 224641
224629 -> 224642
224630 -> 224643
224631 -> 224644
224632 -> 224645
224633 -> 224646
224634 -> 224647
224635 -> 224648
224636 -> 224649
224637 -> 224650
224638 -> 224651
224639 -> 224652
224640 -> 224653
224641 -> 224654
224642 -> 224655
224643 -> 224656
224644 -> 224657
224645 -> 224658
224646 -> 224659
224647 -> 224660
224648 -> 224661
224649 -> 224662
224650 -> 224663
224651 -> 224664
224652 -> 224665
224653 -> 224666
224654 -> 224667
224655 -> 224668
224656 -> 224669
224657 -> 224670
224658 -> 224671
224659 -> 224672
224660 -> 224673
224661 -> 224674
224662 -> 224675
224663 -> 224676
224664 -> 224677
224665 -> 224678
224666 -> 224679
224667 -> 224367
224668 -> 224368
224669 -> 224369
224670 -> 224370
224671 -> 224371
224672 -> 224372
224673 -> 224373
224674 -> 224374
224675 -> 224375
224676 -> 224376
224677 -> 224377
224678 -> 224378
224679 -> 224379
224667 -> 224380
224433 -> 224680
224434 -> 224681
224435 -> 224682
224436 -> 224683
224437 -> 224684
224438 -> 224685
224439 -> 224686
224440 -> 224687
224441 -> 224688
224442 -> 224689
224443 -> 224690
224444 -> 224691
224445 -> 224692
224680 -> 224693
224681 -> 224694
224682 -> 224695
224683 -> 224696
224684 -> 224697
224685 -> 224698
224686 -> 224699
224687 -> 224700
224688 -> 224701
224689 -> 224702
224690 -> 224703
224691 -> 224704
224692 -> 224705
224680 -> 224706
