method: org.apache.fop.fonts.type1.AFMParser$DoubleSetter.<init>:861653713
889403 -> 889404
889405 -> 889406
889407 -> 889408
889404 -> 889409
889406 -> 889410
889408 -> 889411
889409 -> 889412
889410 -> 889413
889411 -> 889414
889412 -> 889415
889413 -> 889416
889414 -> 889417
889415 -> 889418
889416 -> 889419
889417 -> 889420
889415 -> 889421
