method: org.apache.fop.pdf.PDFMetadata.getMetadata:39500535
1639529 -> 1639530
1639531 -> 1639532
1639529 -> 1639533
1639530 -> 1639534
1639532 -> 1639535
1639533 -> 1639536
1639534 -> 1639537
1639535 -> 1639538
1639536 -> 1639539
1639537 -> 1639540
1639538 -> 1639541
1639539 -> 1639542
1639539 -> 1639543
