method: org.apache.fop.layoutmgr.inline.InlineStackingLayoutManager.getCurrentArea:1555757942
1197299 -> 1197300
1197301 -> 1197302
1197299 -> 1197303
1197300 -> 1197304
1197302 -> 1197305
1197303 -> 1197306
1197304 -> 1197307
1197305 -> 1197308
1197306 -> 1197309
1197307 -> 1197310
1197308 -> 1197311
1197309 -> 1197312
1197309 -> 1197313
