method: org.apache.fop.fo.properties.CommonBorderPaddingBackground$BorderInfo.getColor:1308054670
365238 -> 365239
365240 -> 365241
365238 -> 365242
365239 -> 365243
365241 -> 365244
365242 -> 365245
365243 -> 365246
365244 -> 365247
365245 -> 365248
365246 -> 365249
365247 -> 365250
365248 -> 365251
365248 -> 365252
