method: org.apache.fop.fonts.MultiByteFont.setWidthArray:1312355199
824994 -> 824995
824996 -> 824997
824998 -> 824999
824995 -> 825000
824997 -> 825001
824999 -> 825002
825000 -> 825003
825001 -> 825004
825002 -> 825005
825003 -> 825006
825004 -> 825007
825005 -> 825008
825006 -> 825009
825007 -> 825010
825008 -> 825011
825006 -> 825012
