method: org.apache.fop.svg.SVGUserAgent.getViewportSize:494638339
2489609 -> 2489610
2489611 -> 2489612
2489609 -> 2489613
2489610 -> 2489614
2489612 -> 2489615
2489613 -> 2489616
2489614 -> 2489617
2489615 -> 2489618
2489617 -> 2489619
2489618 -> 2489620
2489621 -> 2489622
2489619 -> 2489623
2489620 -> 2489624
2489622 -> 2489625
2489622 -> 2489626
