method: org.apache.fop.layoutmgr.table.TableContentLayoutManager.getHeaderElements:2127628428
1489245 -> 1489246
1489247 -> 1489248
1489245 -> 1489249
1489246 -> 1489250
1489248 -> 1489251
1489249 -> 1489252
1489250 -> 1489253
1489251 -> 1489254
1489252 -> 1489255
1489253 -> 1489256
1489254 -> 1489257
1489255 -> 1489258
1489255 -> 1489259
