method: org.apache.fop.hyphenation.Hyphenator.getFopHyphenationTree:482987081
0(482987081) -> 0(1640037006) 
key(482987081) -> key(1640037006) 
0(482987081) -> lang(1640037006) 
0(482987081) -> l6(1640037006) 
0(482987081) -> is(1640037006) 
0(482987081) -> $r0(1640037006) 
0(482987081) -> $r1(1640037006) 
0(482987081) -> $r2(1640037006) 
0(482987081) -> hTree(1640037006) 
0(482987081) -> $r3(1640037006) 
0(1640037006) -> 0(520079014) 
key(1640037006) -> key(520079014) 
lang(1640037006) -> lang(520079014) 
l6(1640037006) -> l6(520079014) 
is(1640037006) -> is(520079014) 
$r0(1640037006) -> $r0(520079014) 
$r1(1640037006) -> $r1(520079014) 
$r2(1640037006) -> $r2(520079014) 
hTree(1640037006) -> hTree(520079014) 
$r3(1640037006) -> $r3(520079014) 
0(520079014) -> 0(346257665) 
0(520079014) -> hTree(346257665) 
key(520079014) -> key(346257665) 
lang(520079014) -> lang(346257665) 
l6(520079014) -> l6(346257665) 
is(520079014) -> is(346257665) 
$r0(520079014) -> $r0(346257665) 
$r1(520079014) -> $r1(346257665) 
$r2(520079014) -> $r2(346257665) 
$r3(520079014) -> $r3(346257665) 
0(346257665) -> 0(819731936) 
key(346257665) -> key(819731936) 
lang(346257665) -> lang(819731936) 
l6(346257665) -> l6(819731936) 
is(346257665) -> is(819731936) 
$r0(346257665) -> $r0(819731936) 
$r1(346257665) -> $r1(819731936) 
$r2(346257665) -> $r2(819731936) 
hTree(346257665) -> hTree(819731936) 
$r3(346257665) -> $r3(819731936) 
0(819731936) -> 0(1320355317) 
0(819731936) -> is(1320355317) 
key(819731936) -> key(1320355317) 
lang(819731936) -> lang(1320355317) 
l6(819731936) -> l6(1320355317) 
$r0(819731936) -> $r0(1320355317) 
$r1(819731936) -> $r1(1320355317) 
$r2(819731936) -> $r2(1320355317) 
hTree(819731936) -> hTree(1320355317) 
$r3(819731936) -> $r3(1320355317) 
0(1320355317) -> 0(-1320355317) 
key(1320355317) -> key(-1320355317) 
lang(1320355317) -> lang(-1320355317) 
l6(1320355317) -> l6(-1320355317) 
$r0(1320355317) -> $r0(-1320355317) 
$r1(1320355317) -> $r1(-1320355317) 
$r2(1320355317) -> $r2(-1320355317) 
hTree(1320355317) -> hTree(-1320355317) 
$r3(1320355317) -> $r3(-1320355317) 
0(-1320355317) -> 0(2064266734) 
key(-1320355317) -> key(2064266734) 
lang(-1320355317) -> lang(2064266734) 
l6(-1320355317) -> l6(2064266734) 
is(-1320355317) -> is(2064266734) 
$r0(-1320355317) -> $r0(2064266734) 
$r1(-1320355317) -> $r1(2064266734) 
$r2(-1320355317) -> $r2(2064266734) 
hTree(-1320355317) -> hTree(2064266734) 
$r3(-1320355317) -> $r3(2064266734) 
0(2064266734) -> 0(516554318) 
key(2064266734) -> key(516554318) 
lang(2064266734) -> lang(516554318) 
l6(2064266734) -> l6(516554318) 
is(2064266734) -> is(516554318) 
$r0(2064266734) -> $r0(516554318) 
$r1(2064266734) -> $r1(516554318) 
$r2(2064266734) -> $r2(516554318) 
hTree(2064266734) -> hTree(516554318) 
$r3(2064266734) -> $r3(516554318) 
0(2064266734) -> 0(704112006) 
key(2064266734) -> key(704112006) 
lang(2064266734) -> lang(704112006) 
l6(2064266734) -> l6(704112006) 
is(2064266734) -> is(704112006) 
$r0(2064266734) -> $r0(704112006) 
$r1(2064266734) -> $r1(704112006) 
$r2(2064266734) -> $r2(704112006) 
hTree(2064266734) -> hTree(704112006) 
