method: org.apache.fop.layoutmgr.LayoutContext.getTrailingSpace:1194786770
1327455 -> 1327456
1327457 -> 1327458
1327455 -> 1327459
1327456 -> 1327460
1327458 -> 1327461
1327459 -> 1327462
1327460 -> 1327463
1327461 -> 1327464
1327462 -> 1327465
1327463 -> 1327466
1327464 -> 1327467
1327465 -> 1327468
1327465 -> 1327469
