method: org.apache.fop.fonts.MultiByteFont.setBFEntries:1315830991
824928 -> 824929
824930 -> 824931
824932 -> 824933
824929 -> 824934
824931 -> 824935
824933 -> 824936
824934 -> 824937
824935 -> 824938
824936 -> 824939
824937 -> 824940
824938 -> 824941
824939 -> 824942
824940 -> 824943
824941 -> 824944
824942 -> 824945
824940 -> 824946
