method: org.apache.fop.fo.properties.SpacingPropertyMaker.<init>:137360846
0(137360846) -> 0(760015961) 
this(137360846) -> this(760015961) 
0(760015961) -> 0(355524171) 
this(760015961) -> this(355524171) 
0(355524171) -> 0(1667686598) 
this(355524171) -> this(1667686598) 
0(1667686598) -> 0(1999575589) 
this(1667686598) -> this(1999575589) 
0(1999575589) -> 0(-137360846) 
this(1999575589) -> this(-137360846) 
0(1999575589) -> .return(-137360846) 
