method: org.apache.fop.layoutmgr.inline.AlignmentContext.getTotalTopOffset:1312955080
1150182 -> 1150183
1150184 -> 1150185
1150183 -> 1150186
1150185 -> 1150187
1150186 -> 1150188
1150187 -> 1150189
1150188 -> 1150190
1150189 -> 1150191
1150190 -> 1150192
1150191 -> 1150193
1150192 -> 1150194
1150193 -> 1150195
1150194 -> 1150196
1150195 -> 1150197
1150196 -> 1150198
1150197 -> 1150199
1150196 -> 1150200
