method: org.apache.fop.image.loader.batik.ImageLoaderFactorySVG.newImageLoader:429415593
963588 -> 963589
963590 -> 963591
963592 -> 963593
963588 -> 963594
963589 -> 963595
963591 -> 963596
963593 -> 963597
963594 -> 963598
963595 -> 963599
963596 -> 963600
963597 -> 963601
963598 -> 963602
963599 -> 963603
963600 -> 963604
963601 -> 963605
963603 -> 963606
963604 -> 963607
963605 -> 963608
963609 -> 963610
963606 -> 963611
963607 -> 963612
963608 -> 963613
963610 -> 963614
963610 -> 963615
