method: org.apache.fop.render.awt.viewer.PreviewPanel$ViewportScroller.mouseClicked:1081026086
1883280 -> 1883281
1883282 -> 1883283
1883284 -> 1883285
1883281 -> 1883286
1883283 -> 1883287
1883285 -> 1883288
1883286 -> 1883289
1883287 -> 1883290
1883288 -> 1883291
1883289 -> 1883292
1883290 -> 1883293
1883291 -> 1883294
1883289 -> 1883295
