method: org.apache.fop.svg.SVGUserAgent.getLogger:831072029
2489195 -> 2489196
2489197 -> 2489198
2489195 -> 2489199
2489196 -> 2489200
2489198 -> 2489201
2489199 -> 2489202
2489200 -> 2489203
2489201 -> 2489204
2489202 -> 2489205
2489203 -> 2489206
2489204 -> 2489207
2489205 -> 2489208
2489205 -> 2489209
