method: org.apache.fop.layoutmgr.inline.LeafNodeLayoutManager.setCurrentArea:1785989124
1216504 -> 1216505
1216506 -> 1216507
1216508 -> 1216509
1216505 -> 1216510
1216507 -> 1216511
1216509 -> 1216512
1216510 -> 1216513
1216511 -> 1216514
1216512 -> 1216515
1216513 -> 1216516
1216514 -> 1216517
1216515 -> 1216518
1216516 -> 1216519
1216517 -> 1216520
1216518 -> 1216521
1216516 -> 1216522
