method: org.apache.fop.render.txt.border.SolidAndDoubleBorderElement.convert2Char:429954681
2366956 -> 2366957
2366958 -> 2366959
2366957 -> 2366960
2366959 -> 2366961
2366960 -> 2366962
2366961 -> 2366963
2366962 -> 2366964
2366963 -> 2366965
2366964 -> 2366966
2366965 -> 2366967
2366964 -> 2366968
2366965 -> 2366969
2366968 -> 2366970
2366969 -> 2366971
2366970 -> 2366972
2366971 -> 2366973
2366972 -> 2366966
2366973 -> 2366967
2366966 -> 2366974
2366967 -> 2366975
2366966 -> 2366976
