method: org.apache.fop.fonts.FontCache.removeFont:1130634447
0(1130634447) -> 0(1520155486) 
this(1130634447) -> this(1520155486) 
embedUrl(1130634447) -> embedUrl(1520155486) 
0(1130634447) -> l2(1520155486) 
0(1130634447) -> l3(1520155486) 
0(1130634447) -> $r0(1520155486) 
0(1130634447) -> $r1(1520155486) 
0(1130634447) -> $r2(1520155486) 
0(1130634447) -> $r3(1520155486) 
0(1130634447) -> $r4(1520155486) 
0(1130634447) -> $r5(1520155486) 
0(1520155486) -> 0(640304843) 
this(1520155486) -> this(640304843) 
embedUrl(1520155486) -> embedUrl(640304843) 
l2(1520155486) -> l2(640304843) 
l3(1520155486) -> l3(640304843) 
$r0(1520155486) -> $r0(640304843) 
$r1(1520155486) -> $r1(640304843) 
$r2(1520155486) -> $r2(640304843) 
$r3(1520155486) -> $r3(640304843) 
$r4(1520155486) -> $r4(640304843) 
$r5(1520155486) -> $r5(640304843) 
0(640304843) -> 0(1687014453) 
this(640304843) -> this(1687014453) 
embedUrl(640304843) -> embedUrl(1687014453) 
l2(640304843) -> l2(1687014453) 
l3(640304843) -> l3(1687014453) 
$r0(640304843) -> $r0(1687014453) 
$r1(640304843) -> $r1(1687014453) 
$r2(640304843) -> $r2(1687014453) 
$r3(640304843) -> $r3(1687014453) 
$r4(640304843) -> $r4(1687014453) 
$r5(640304843) -> $r5(1687014453) 
0(1687014453) -> 0(1531528394) 
this(1687014453) -> this(1531528394) 
embedUrl(1687014453) -> embedUrl(1531528394) 
l2(1687014453) -> l2(1531528394) 
l3(1687014453) -> l3(1531528394) 
$r0(1687014453) -> $r0(1531528394) 
$r1(1687014453) -> $r1(1531528394) 
$r2(1687014453) -> $r2(1531528394) 
$r3(1687014453) -> $r3(1531528394) 
$r4(1687014453) -> $r4(1531528394) 
$r5(1687014453) -> $r5(1531528394) 
0(1531528394) -> 0(658725016) 
this(1531528394) -> this(658725016) 
embedUrl(1531528394) -> embedUrl(658725016) 
l3(1531528394) -> l3(658725016) 
$r0(1531528394) -> l2(658725016) 
$r0(1531528394) -> $r0(658725016) 
$r1(1531528394) -> $r1(658725016) 
$r2(1531528394) -> $r2(658725016) 
$r3(1531528394) -> $r3(658725016) 
$r4(1531528394) -> $r4(658725016) 
$r5(1531528394) -> $r5(658725016) 
0(658725016) -> 0(-1130634447) 
this(658725016) -> this(-1130634447) 
embedUrl(658725016) -> embedUrl(-1130634447) 
l2(658725016) -> l2(-1130634447) 
l3(658725016) -> l3(-1130634447) 
$r0(658725016) -> $r0(-1130634447) 
$r1(658725016) -> $r1(-1130634447) 
$r2(658725016) -> $r2(-1130634447) 
$r3(658725016) -> $r3(-1130634447) 
$r4(658725016) -> $r4(-1130634447) 
$r5(658725016) -> $r5(-1130634447) 
0(2045710999) -> 0(-2045710999) 
this(2045710999) -> this(-2045710999) 
embedUrl(2045710999) -> embedUrl(-2045710999) 
l2(2045710999) -> l2(-2045710999) 
l3(2045710999) -> l3(-2045710999) 
$r0(2045710999) -> $r0(-2045710999) 
$r1(2045710999) -> $r1(-2045710999) 
$r2(2045710999) -> $r2(-2045710999) 
$r3(2045710999) -> $r3(-2045710999) 
$r4(2045710999) -> $r4(-2045710999) 
$r5(2045710999) -> $r5(-2045710999) 
0(-2045710999) -> 0(1051571723) 
this(-2045710999) -> this(1051571723) 
embedUrl(-2045710999) -> embedUrl(1051571723) 
l2(-2045710999) -> l2(1051571723) 
l3(-2045710999) -> l3(1051571723) 
$r0(-2045710999) -> $r0(1051571723) 
$r1(-2045710999) -> $r1(1051571723) 
$r2(-2045710999) -> $r2(1051571723) 
$r3(-2045710999) -> $r3(1051571723) 
$r4(-2045710999) -> $r4(1051571723) 
$r5(-2045710999) -> $r5(1051571723) 
0(1051571723) -> 0(291438206) 
this(1051571723) -> this(291438206) 
embedUrl(1051571723) -> embedUrl(291438206) 
l2(1051571723) -> l2(291438206) 
l3(1051571723) -> l3(291438206) 
$r0(1051571723) -> $r0(291438206) 
$r1(1051571723) -> $r1(291438206) 
$r2(1051571723) -> $r2(291438206) 
$r3(1051571723) -> $r3(291438206) 
$r4(1051571723) -> $r4(291438206) 
$r5(1051571723) -> $r5(291438206) 
0(1051571723) -> 0(2123017298) 
this(1051571723) -> this(2123017298) 
embedUrl(1051571723) -> embedUrl(2123017298) 
l2(1051571723) -> l2(2123017298) 
l3(1051571723) -> l3(2123017298) 
$r0(1051571723) -> $r0(2123017298) 
$r1(1051571723) -> $r1(2123017298) 
$r2(1051571723) -> $r2(2123017298) 
$r3(1051571723) -> $r3(2123017298) 
$r4(1051571723) -> $r4(2123017298) 
$r5(1051571723) -> $r5(2123017298) 
0(2123017298) -> 0(1110932581) 
this(2123017298) -> this(1110932581) 
embedUrl(2123017298) -> embedUrl(1110932581) 
l2(2123017298) -> l2(1110932581) 
l3(2123017298) -> l3(1110932581) 
$r0(2123017298) -> $r0(1110932581) 
$r1(2123017298) -> $r1(1110932581) 
$r2(2123017298) -> $r2(1110932581) 
$r3(2123017298) -> $r3(1110932581) 
$r4(2123017298) -> $r4(1110932581) 
$r5(2123017298) -> $r5(1110932581) 
0(1110932581) -> 0(-1110932581) 
this(1110932581) -> this(-1110932581) 
embedUrl(1110932581) -> embedUrl(-1110932581) 
l2(1110932581) -> l2(-1110932581) 
l3(1110932581) -> l3(-1110932581) 
$r0(1110932581) -> $r0(-1110932581) 
$r1(1110932581) -> $r1(-1110932581) 
$r2(1110932581) -> $r2(-1110932581) 
$r3(1110932581) -> $r3(-1110932581) 
$r4(1110932581) -> $r4(-1110932581) 
$r5(1110932581) -> $r5(-1110932581) 
0(-1110932581) -> 0(1221061849) 
this(-1110932581) -> this(1221061849) 
embedUrl(-1110932581) -> embedUrl(1221061849) 
l2(-1110932581) -> l2(1221061849) 
l3(-1110932581) -> l3(1221061849) 
$r0(-1110932581) -> $r0(1221061849) 
$r1(-1110932581) -> $r1(1221061849) 
$r2(-1110932581) -> $r2(1221061849) 
$r3(-1110932581) -> $r3(1221061849) 
$r4(-1110932581) -> $r4(1221061849) 
$r5(-1110932581) -> $r5(1221061849) 
0(1221061849) -> 0(1456355880) 
this(1221061849) -> this(1456355880) 
embedUrl(1221061849) -> embedUrl(1456355880) 
l2(1221061849) -> l2(1456355880) 
l3(1221061849) -> l3(1456355880) 
$r0(1221061849) -> $r0(1456355880) 
$r1(1221061849) -> $r1(1456355880) 
$r2(1221061849) -> $r2(1456355880) 
$r3(1221061849) -> $r3(1456355880) 
$r4(1221061849) -> $r4(1456355880) 
$r5(1221061849) -> $r5(1456355880) 
0(1221061849) -> 0(1032765411) 
this(1221061849) -> this(1032765411) 
embedUrl(1221061849) -> embedUrl(1032765411) 
l2(1221061849) -> l2(1032765411) 
l3(1221061849) -> l3(1032765411) 
