method: org.apache.fop.pdf.BitmapImage.getColorSpace:724126102
1542776 -> 1542777
1542778 -> 1542779
1542776 -> 1542780
1542777 -> 1542781
1542779 -> 1542782
1542780 -> 1542783
1542781 -> 1542784
1542782 -> 1542785
1542783 -> 1542786
1542784 -> 1542787
1542785 -> 1542788
1542786 -> 1542789
1542786 -> 1542790
