method: org.apache.fop.render.AbstractRenderer.getCurrentPageViewport:1313994160
1716106 -> 1716107
1716108 -> 1716109
1716106 -> 1716110
1716107 -> 1716111
1716109 -> 1716112
1716110 -> 1716113
1716111 -> 1716114
1716112 -> 1716115
1716113 -> 1716116
1716114 -> 1716117
1716115 -> 1716118
1716116 -> 1716119
1716116 -> 1716120
