method: org.apache.fop.pdf.PDFState$Data.resetTransform:2134536731
1689534 -> 1689535
1689536 -> 1689537
1689534 -> 1689538
1689535 -> 1689539
1689537 -> 1689540
1689538 -> 1689541
1689539 -> 1689542
1689540 -> 1689543
1689542 -> 1689544
1689543 -> 1689545
1689546 -> 1689547
1689544 -> 1689548
1689545 -> 1689549
1689547 -> 1689550
1689548 -> 1689551
1689549 -> 1689552
1689550 -> 1689553
1689548 -> 1689554
