method: org.apache.fop.fo.flow.table.Table.omitFooterAtBreak:2091966492
230849 -> 230850
230851 -> 230852
230850 -> 230853
230852 -> 230854
230853 -> 230855
230854 -> 230856
230855 -> 230857
230856 -> 230858
230855 -> 230859
230856 -> 230860
230859 -> 230861
230860 -> 230862
230861 -> 230863
230862 -> 230864
230857 -> 230863
230858 -> 230864
230863 -> 230865
230864 -> 230866
230863 -> 230867
