method: org.apache.fop.fo.properties.SpaceProperty.setPrecedence:81166131
418719 -> 418720
418721 -> 418722
418723 -> 418724
418720 -> 418725
418722 -> 418726
418724 -> 418727
418725 -> 418728
418726 -> 418729
418727 -> 418730
418728 -> 418731
418729 -> 418732
418730 -> 418733
418731 -> 418734
418732 -> 418735
418733 -> 418736
418734 -> 418737
418735 -> 418738
418736 -> 418739
418734 -> 418740
