method: org.apache.fop.fo.properties.CommonBorderPaddingBackground.hasBorder:803690832
369580 -> 369581
369582 -> 369583
369581 -> 369584
369583 -> 369585
369584 -> 369586
369585 -> 369587
369586 -> 369588
369587 -> 369589
369588 -> 369590
369589 -> 369591
369590 -> 369592
369591 -> 369593
369592 -> 369594
369593 -> 369595
369594 -> 369596
369595 -> 369597
369596 -> 369598
369597 -> 369599
369598 -> 369600
369599 -> 369601
369600 -> 369602
369601 -> 369603
369602 -> 369604
369603 -> 369605
369604 -> 369606
369605 -> 369607
369606 -> 369608
369607 -> 369609
369606 -> 369610
369607 -> 369611
369610 -> 369612
369611 -> 369613
369612 -> 369614
369613 -> 369615
369608 -> 369614
369609 -> 369615
369614 -> 369616
369615 -> 369617
369614 -> 369618
