method: org.apache.fop.fonts.type1.Type1FontLoader.<init>:405684231
904119 -> 904120
904121 -> 904122
904123 -> 904124
904125 -> 904126
904120 -> 904127
904122 -> 904128
904124 -> 904129
904126 -> 904130
904127 -> 904131
904128 -> 904132
904129 -> 904133
904130 -> 904134
904131 -> 904135
904132 -> 904136
904133 -> 904137
904134 -> 904138
904135 -> 904139
904136 -> 904140
904137 -> 904141
904138 -> 904142
904139 -> 904143
904140 -> 904144
904141 -> 904145
904142 -> 904146
904139 -> 904147
