method: org.apache.fop.fonts.SingleByteFont.setEncoding:2128406822
826573 -> 826574
826575 -> 826576
826577 -> 826578
826574 -> 826579
826576 -> 826580
826578 -> 826581
826579 -> 826582
826580 -> 826583
826581 -> 826584
826582 -> 826585
826583 -> 826586
826584 -> 826587
826585 -> 826588
826586 -> 826589
826587 -> 826590
826585 -> 826591
