method: org.apache.fop.pdf.PDFState.getStackLevel:656311397
1690041 -> 1690042
1690043 -> 1690044
1690041 -> 1690045
1690042 -> 1690046
1690044 -> 1690047
1690045 -> 1690048
1690046 -> 1690049
1690047 -> 1690050
1690048 -> 1690051
1690049 -> 1690052
1690050 -> 1690053
1690051 -> 1690054
1690052 -> 1690055
1690053 -> 1690056
1690054 -> 1690057
1690055 -> 1690058
1690056 -> 1690059
1690057 -> 1690060
1690055 -> 1690061
