method: org.apache.fop.layoutmgr.LayoutContext.setStackLimitIP:1406728652
1327695 -> 1327696
1327697 -> 1327698
1327699 -> 1327700
1327696 -> 1327701
1327698 -> 1327702
1327700 -> 1327703
1327701 -> 1327704
1327702 -> 1327705
1327703 -> 1327706
1327704 -> 1327707
1327705 -> 1327708
1327706 -> 1327709
1327707 -> 1327710
1327708 -> 1327711
1327709 -> 1327712
1327707 -> 1327713
