method: org.apache.fop.layoutmgr.SpaceResolver$SpaceHandlingBreakPosition.getOriginalBreakPosition:716464603
1407382 -> 1407383
1407384 -> 1407385
1407382 -> 1407386
1407383 -> 1407387
1407385 -> 1407388
1407386 -> 1407389
1407387 -> 1407390
1407388 -> 1407391
1407389 -> 1407392
1407390 -> 1407393
1407391 -> 1407394
1407392 -> 1407395
1407392 -> 1407396
