method: org.apache.fop.fo.flow.table.CollapsingBorderResolver$Resolver.<init>:1847286166
208998 -> 208999
209000 -> 209001
209002 -> 209003
209004 -> 209005
208999 -> 209006
209001 -> 209007
209003 -> 209008
209005 -> 209009
209006 -> 209010
209007 -> 209011
209008 -> 209012
209009 -> 209013
209010 -> 209014
209011 -> 209015
209012 -> 209016
209013 -> 209017
209014 -> 209018
209015 -> 209019
209016 -> 209020
209017 -> 209021
209018 -> 209022
209019 -> 209023
209020 -> 209024
209021 -> 209025
209018 -> 209026
