method: org.apache.fop.layoutmgr.BreakingAlgorithm$BestRecords.getDifference:1655936116
1105508 -> 1105509
1105510 -> 1105511
1105508 -> 1105512
1105509 -> 1105513
1105511 -> 1105514
1105512 -> 1105515
1105513 -> 1105516
1105514 -> 1105517
1105515 -> 1105518
1105516 -> 1105519
1105517 -> 1105520
1105518 -> 1105521
1105519 -> 1105522
1105520 -> 1105523
1105521 -> 1105524
1105522 -> 1105525
1105523 -> 1105526
1105524 -> 1105527
1105522 -> 1105528
