method: org.apache.fop.hyphenation.TernaryTree$Iterator$Item.<init>:2063561
953198 -> 953199
953200 -> 953201
953202 -> 953203
953199 -> 953204
953201 -> 953205
953203 -> 953206
953204 -> 953207
953205 -> 953208
953206 -> 953209
953207 -> 953210
953208 -> 953211
953209 -> 953212
953210 -> 953213
953211 -> 953214
953212 -> 953215
953213 -> 953216
953214 -> 953217
953215 -> 953218
953216 -> 953219
953217 -> 953220
953218 -> 953221
953219 -> 953222
953220 -> 953223
953221 -> 953224
953222 -> 953225
953223 -> 953226
953224 -> 953227
953225 -> 953228
953226 -> 953229
953227 -> 953230
953225 -> 953231
