method: org.apache.fop.fonts.type1.AFMParser$AbstractValueHandler.findValue:1391584103
887903 -> 887904
887905 -> 887906
887907 -> 887908
887904 -> 887909
887906 -> 887910
887908 -> 887911
887909 -> 887912
887910 -> 887913
887911 -> 887914
887912 -> 887915
887913 -> 887916
887914 -> 887917
887915 -> 887918
887916 -> 887919
887917 -> 887920
887918 -> 887921
887919 -> 887922
887920 -> 887923
887921 -> 887924
887922 -> 887925
887923 -> 887926
887921 -> 887927
