method: org.apache.fop.fo.properties.BackgroundPositionShorthand$Maker$1.getBaseLength:1389238960
362033 -> 362034
362035 -> 362036
362037 -> 362038
362034 -> 362039
362036 -> 362040
362038 -> 362041
362039 -> 362042
362040 -> 362043
362041 -> 362044
362042 -> 362045
362043 -> 362046
362044 -> 362047
362042 -> 362048
