method: org.apache.fop.fo.properties.PropertyCache$CacheSegment.<init>:1831568347
407871 -> 407872
407873 -> 407874
407875 -> 407876
407877 -> 407878
407872 -> 407879
407874 -> 407880
407876 -> 407881
407878 -> 407882
407879 -> 407883
407880 -> 407884
407881 -> 407885
407882 -> 407886
407883 -> 407887
407884 -> 407888
407885 -> 407889
407886 -> 407890
407887 -> 407891
407888 -> 407892
407889 -> 407893
407890 -> 407894
407891 -> 407895
407892 -> 407896
407893 -> 407897
407894 -> 407898
407891 -> 407899
