method: org.apache.fop.fo.properties.FontShorthandProperty$Maker.<clinit>:1293949126
392898 -> 392899
392898 -> 392900
392899 -> 392901
392901 -> 392902
392903 -> 392904
392902 -> 392905
392904 -> 392906
392905 -> 392907
392906 -> 392908
392907 -> 392909
392908 -> 392910
392909 -> 392911
392910 -> 392912
392911 -> 392913
392912 -> 392914
392913 -> 392915
392914 -> 392916
392915 -> 392917
392916 -> 392918
392915 -> 392919
