method: org.apache.fop.render.afp.fonts.RasterFont.getWidths:1141406660
1804161 -> 1804162
1804163 -> 1804164
1804161 -> 1804165
1804162 -> 1804166
1804164 -> 1804167
1804165 -> 1804168
1804166 -> 1804169
1804167 -> 1804170
1804169 -> 1804171
1804170 -> 1804172
1804173 -> 1804174
1804171 -> 1804175
1804172 -> 1804176
1804174 -> 1804177
1804174 -> 1804178
