method: org.apache.fop.util.CharUtilities.isAnySpace:1495454736
2600780 -> 2600781
2600781 -> 2600782
2600782 -> 2600783
2600783 -> 2600784
2600784 -> 2600785
2600784 -> 2600786
2600786 -> 2600787
2600787 -> 2600788
2600788 -> 2600789
2600788 -> 2600785
2600785 -> 2600790
2600790 -> 2600791
2600789 -> 2600791
2600791 -> 2600792
2600792 -> 2600793
2600792 -> 2600794
