method: org.apache.fop.render.ps.PSTextPainter.drawPrimitiveString:1049274602
2208243 -> 2208255
2208244 -> 2208256
2208245 -> 2208257
2208246 -> 2208258
2208246 -> 2208259
2208247 -> 2208260
2208248 -> 2208261
2208249 -> 2208262
2208250 -> 2208263
2208251 -> 2208264
2208252 -> 2208265
2208253 -> 2208266
2208255 -> 2208267
2208256 -> 2208197
2208257 -> 2208198
2208259 -> 2208199
2208260 -> 2208200
2208261 -> 2208201
2208262 -> 2208202
2208263 -> 2208203
2208264 -> 2208204
2208265 -> 2208205
2208266 -> 2208206
2208258 -> 2208207
2208267 -> 2208208
2208197 -> 2208268
2208198 -> 2208269
2208199 -> 2208270
2208200 -> 2208271
2208201 -> 2208272
2208202 -> 2208273
2208203 -> 2208274
2208204 -> 2208275
2208205 -> 2208276
2208206 -> 2208277
2208207 -> 2208278
2208208 -> 2208279
2208268 -> 2208280
2208269 -> 2208281
2208270 -> 2208282
2208271 -> 2208283
2208272 -> 2208284
2208273 -> 2208285
2208274 -> 2208286
2208275 -> 2208287
2208276 -> 2208288
2208277 -> 2208289
2208278 -> 2208290
2208279 -> 2208291
2208280 -> 2208292
2208281 -> 2208293
2208282 -> 2208294
2208283 -> 2208295
2208284 -> 2208296
2208285 -> 2208297
2208286 -> 2208298
2208287 -> 2208299
2208288 -> 2208300
2208289 -> 2208301
2208290 -> 2208302
2208291 -> 2208303
2208304 -> 2208305
2208306 -> 2208307
2208308 -> 2208309
2208310 -> 2208311
2208312 -> 2208313
2208314 -> 2208315
2208316 -> 2208317
2208318 -> 2208319
2208320 -> 2208321
2208322 -> 2208323
2208324 -> 2208325
2208324 -> 2208326
2208305 -> 2208327
2208307 -> 2208328
2208309 -> 2208329
2208311 -> 2208330
2208313 -> 2208331
2208315 -> 2208332
2208317 -> 2208333
2208325 -> 2208334
2208319 -> 2208335
2208321 -> 2208336
2208323 -> 2208337
2208326 -> 2208338
2208327 -> 2208339
2208328 -> 2208340
2208329 -> 2208341
2208330 -> 2208342
2208331 -> 2208343
2208332 -> 2208344
2208333 -> 2208345
2208334 -> 2208346
2208335 -> 2208347
2208336 -> 2208348
2208337 -> 2208349
2208338 -> 2208350
2208292 -> 2208351
2208293 -> 2208352
2208294 -> 2208353
2208295 -> 2208354
2208296 -> 2208355
2208297 -> 2208356
2208298 -> 2208357
2208299 -> 2208358
2208300 -> 2208359
2208301 -> 2208360
2208302 -> 2208361
2208303 -> 2208362
2208292 -> 2208363
