method: org.apache.fop.fonts.type1.AFMCharMetrics.setUnicodeSequence:1739783910
884230 -> 884231
884232 -> 884233
884234 -> 884235
884231 -> 884236
884233 -> 884237
884235 -> 884238
884236 -> 884239
884237 -> 884240
884238 -> 884241
884239 -> 884242
884240 -> 884243
884241 -> 884244
884242 -> 884245
884243 -> 884246
884244 -> 884247
884242 -> 884248
