method: org.apache.fop.fo.flow.table.TableBody.getCommonBorderPaddingBackground:1926495474
233847 -> 233848
233849 -> 233850
233847 -> 233851
233848 -> 233852
233850 -> 233853
233851 -> 233854
233852 -> 233855
233853 -> 233856
233854 -> 233857
233855 -> 233858
233856 -> 233859
233857 -> 233860
233857 -> 233861
