method: org.apache.fop.fo.pagination.AbstractPageSequence.getReferenceOrientation:1059198823
336206 -> 336207
336208 -> 336209
336206 -> 336210
336207 -> 336211
336209 -> 336212
336210 -> 336213
336211 -> 336214
336212 -> 336215
336213 -> 336216
336214 -> 336217
336215 -> 336218
336216 -> 336219
336217 -> 336220
336218 -> 336221
336219 -> 336222
336220 -> 336223
336221 -> 336224
336222 -> 336225
336220 -> 336226
