method: org.apache.fop.fo.flow.BlockContainer.getWritingMode:1879674136
0(1879674136) -> 0(1494550008) 
this(1879674136) -> this(1494550008) 
0(1494550008) -> 0(690784098) 
this(1494550008) -> this(690784098) 
0(690784098) -> 0(711739404) 
this(690784098) -> this(711739404) 
0(711739404) -> 0(-1879674136) 
this(711739404) -> this(-1879674136) 
0(711739404) -> .return(-1879674136) 
