method: org.apache.fop.pdf.StreamCacheFactory.getInstance:513678293
0(513678293) -> 0(1216706955) 
0(513678293) -> $r0(1216706955) 
0(1216706955) -> 0(854505951) 
$r0(1216706955) -> $r0(854505951) 
0(854505951) -> 0(-854505951) 
0(-854505951) -> 0(1458370968) 
$r0(-854505951) -> $r0(1458370968) 
0(1458370968) -> 0(-513678293) 
$r0(1458370968) -> $r0(-513678293) 
$r0(1458370968) -> .return(-513678293) 
