method: org.apache.fop.fonts.type1.AFMParser$FontBBox.parseBBox:895874973
rect(1655761745) -> rect(1670850936) 
$r1(1655761745) -> $r1(1670850936) 
$r2(1655761745) -> $r2(1670850936) 
0(1670850936) -> 0(-1670850936) 
this(1670850936) -> this(-1670850936) 
line(1670850936) -> line(-1670850936) 
$r0(1670850936) -> $r0(-1670850936) 
rect(1670850936) -> rect(-1670850936) 
$r1(1670850936) -> $r1(-1670850936) 
$r2(1670850936) -> $r2(-1670850936) 
0(-1670850936) -> 0(644797341) 
this(-1670850936) -> this(644797341) 
line(-1670850936) -> line(644797341) 
$r0(-1670850936) -> $r0(644797341) 
rect(-1670850936) -> rect(644797341) 
$r1(-1670850936) -> $r1(644797341) 
$r2(-1670850936) -> $r2(644797341) 
0(644797341) -> 0(-644797341) 
this(644797341) -> this(-644797341) 
line(644797341) -> line(-644797341) 
$r0(644797341) -> $r0(-644797341) 
rect(644797341) -> rect(-644797341) 
$r1(644797341) -> $r1(-644797341) 
$r2(644797341) -> $r2(-644797341) 
0(-644797341) -> 0(1102817283) 
this(-644797341) -> this(1102817283) 
line(-644797341) -> line(1102817283) 
$r0(-644797341) -> $r0(1102817283) 
rect(-644797341) -> rect(1102817283) 
$r1(-644797341) -> $r1(1102817283) 
$r2(-644797341) -> $r2(1102817283) 
0(1102817283) -> 0(-1102817283) 
this(1102817283) -> this(-1102817283) 
line(1102817283) -> line(-1102817283) 
$r0(1102817283) -> $r0(-1102817283) 
rect(1102817283) -> rect(-1102817283) 
$r1(1102817283) -> $r1(-1102817283) 
0(-1102817283) -> 0(283202005) 
this(-1102817283) -> this(283202005) 
line(-1102817283) -> line(283202005) 
$r0(-1102817283) -> $r0(283202005) 
rect(-1102817283) -> rect(283202005) 
$r1(-1102817283) -> $r1(283202005) 
$r2(-1102817283) -> $r2(283202005) 
0(283202005) -> 0(-283202005) 
this(283202005) -> this(-283202005) 
line(283202005) -> line(-283202005) 
$r0(283202005) -> $r0(-283202005) 
rect(283202005) -> rect(-283202005) 
$r1(283202005) -> $r1(-283202005) 
$r2(283202005) -> $r2(-283202005) 
0(-283202005) -> 0(2049204798) 
this(-283202005) -> this(2049204798) 
line(-283202005) -> line(2049204798) 
$r0(-283202005) -> $r0(2049204798) 
rect(-283202005) -> rect(2049204798) 
$r1(-283202005) -> $r1(2049204798) 
$r2(-283202005) -> $r2(2049204798) 
0(2049204798) -> 0(1789793047) 
this(2049204798) -> this(1789793047) 
line(2049204798) -> line(1789793047) 
$r0(2049204798) -> $r0(1789793047) 
