method: org.apache.fop.hyphenation.ByteVector.capacity:1643898050
920058 -> 920059
920060 -> 920061
920058 -> 920062
920059 -> 920063
920061 -> 920064
920062 -> 920065
920063 -> 920066
920064 -> 920067
920065 -> 920068
920066 -> 920069
920067 -> 920070
920068 -> 920071
920069 -> 920072
920070 -> 920073
920071 -> 920074
920069 -> 920075
