method: org.apache.fop.svg.PDFGraphicsDevice.getBestConfiguration:197034631
2462569 -> 2462570
2462571 -> 2462572
2462573 -> 2462574
2462569 -> 2462575
2462570 -> 2462576
2462572 -> 2462577
2462574 -> 2462578
2462575 -> 2462579
2462576 -> 2462580
2462577 -> 2462581
2462578 -> 2462582
2462579 -> 2462583
2462580 -> 2462584
2462581 -> 2462585
2462582 -> 2462586
2462583 -> 2462587
2462584 -> 2462588
2462585 -> 2462589
2462586 -> 2462590
2462587 -> 2462591
2462587 -> 2462592
