method: org.apache.fop.svg.AbstractFOPTranscoder.setLogger:52687444
2392730 -> 2392731
2392732 -> 2392733
2392734 -> 2392735
2392731 -> 2392736
2392733 -> 2392737
2392735 -> 2392738
2392736 -> 2392739
2392737 -> 2392740
2392738 -> 2392741
2392739 -> 2392742
2392740 -> 2392743
2392741 -> 2392744
2392742 -> 2392745
2392743 -> 2392746
2392744 -> 2392747
2392742 -> 2392748
