method: org.apache.fop.render.bitmap.PNGRenderer.<init>:1943605599
0(1943605599) -> 0(500116888) 
this(1943605599) -> this(500116888) 
0(500116888) -> 0(559556069) 
this(500116888) -> this(559556069) 
0(559556069) -> 0(627961470) 
this(559556069) -> this(627961470) 
0(627961470) -> 0(-1943605599) 
this(627961470) -> this(-1943605599) 
0(627961470) -> .return(-1943605599) 
