method: org.apache.fop.pdf.AlphaRasterImage.getHeight:1548665832
1540860 -> 1540861
1540862 -> 1540863
1540860 -> 1540864
1540861 -> 1540865
1540863 -> 1540866
1540864 -> 1540867
1540865 -> 1540868
1540866 -> 1540869
1540867 -> 1540870
1540868 -> 1540871
1540869 -> 1540872
1540870 -> 1540873
1540871 -> 1540874
1540872 -> 1540875
1540873 -> 1540876
1540874 -> 1540877
1540875 -> 1540878
1540876 -> 1540879
1540874 -> 1540880
