method: org.apache.fop.render.AbstractRenderer.handleBlockTraits:1274047360
1717740 -> 1717741
1717742 -> 1717743
1717744 -> 1717745
1717741 -> 1717746
1717743 -> 1717747
1717745 -> 1717748
1717746 -> 1717749
1717747 -> 1717750
1717748 -> 1717751
1717749 -> 1717752
1717750 -> 1717753
1717751 -> 1717754
1717749 -> 1717755
