method: org.apache.fop.area.Trait$TraitInfo.<init>:1723192651
0(1723192651) -> 0(1136600860) 
this(1723192651) -> this(1136600860) 
name(1723192651) -> name(1136600860) 
clazz(1723192651) -> clazz(1136600860) 
0(1136600860) -> 0(983613955) 
this(1136600860) -> this(983613955) 
name(1136600860) -> name(983613955) 
clazz(1136600860) -> clazz(983613955) 
0(983613955) -> 0(270627079) 
this(983613955) -> this(270627079) 
name(983613955) -> name(270627079) 
clazz(983613955) -> clazz(270627079) 
0(270627079) -> 0(823143182) 
this(270627079) -> this(823143182) 
name(270627079) -> name(823143182) 
clazz(270627079) -> clazz(823143182) 
0(823143182) -> 0(532049543) 
this(823143182) -> this(532049543) 
name(823143182) -> name(532049543) 
clazz(823143182) -> clazz(532049543) 
0(532049543) -> 0(777894137) 
this(532049543) -> this(777894137) 
name(532049543) -> name(777894137) 
clazz(532049543) -> clazz(777894137) 
0(777894137) -> 0(186317623) 
this(777894137) -> this(186317623) 
name(777894137) -> name(186317623) 
clazz(777894137) -> clazz(186317623) 
0(186317623) -> 0(-1723192651) 
this(186317623) -> this(-1723192651) 
name(186317623) -> name(-1723192651) 
clazz(186317623) -> clazz(-1723192651) 
0(186317623) -> .return(-1723192651) 
