method: org.apache.fop.layoutmgr.AbstractBaseLayoutManager.getGeneratesReferenceArea:440629734
0(440629734) -> 0(611826523) 
this(440629734) -> this(611826523) 
0(611826523) -> 0(1208483598) 
this(611826523) -> this(1208483598) 
0(1208483598) -> 0(83498260) 
this(1208483598) -> this(83498260) 
0(83498260) -> 0(-440629734) 
this(83498260) -> this(-440629734) 
0(83498260) -> .return(-440629734) 
